sentence,letter
Je peux m'asseoir ici ?,A
"C'est la couleur de nombreux fruits et légumes, comme les tomates, les fraises ou les cerises.",A
"Pas au point qu'il faille en limiter la consommation, mais tout de même. D'autres éditeurs exploitent le créneau, et Internet regorge de sites intéressants qui permettent une approche moins scolaire, certes, mais tellement plus amusante, des mathématiques.",C
"Les Français ne cèdent pas au chacun pour soi, mais ils s'intéressent d'abord à leur cercle familial proche.",B
J'ai retrouvé le plaisir de manger un oeuf à la coque,A
"Trop de charlatans et songe-creux en partie malhonnêtes, en partie dupes de leur propre enthousiasme, ont fait au genre humain de magnifiques promesses qu'ils étaient bien empêchés de tenir.",B
"Je vois trois pommes de terre, mais elles ne sont pas bonnes.",B
L'histoire que je vais vous lire s'intitule Le berger et le Dragon.,A
"Ce sera inoubliable, j'en suis sûr!",A
La mort a figé le jeune homme dans une posture christique.,A
"Et soudain elle est devant moi, mes lunettes à la main.",A
"""Il est parti pour la montagne l'automne dernier, et comme il n'est pas revenu, je crains que les loups ne l'aient mangé."" Et elle commença à pleurer.",B
"Quand le G20 du 15 avril décide le moratoire, c'est la première fois que la Chine acceptait, dans un cadre multilatéral, de participer à un moratoire.",B
Presque tous les jeunes déclarent aimer leur collège ou leur lycée.,B
"Cette ""fin des grands récits"" est largement celle où les lieux étaient classés par étapes - la succession des modes de production marxistes en représentait la version la plus formalisée, mais parler de sous-développement ou de décollage s'inscrivait dans le même paradigme évolutionniste.",C
Aucun filet ne saura empêcher les algues de l'Atlantique de voguer et de tirer leur saveur des eaux qu'elles traversent.,C
Folio n'arrive pas à s'endormir.,A
"La gorge ronde des mannequins gonflait l'étoffe, les hanches fortes exagéraient la finesse de la taille, la tête absente était remplacée par une grande étiquette, piquée avec une épingle dans le molleton rouge du col ; tandis que les glaces, aux deux côtés de la vitrine, par un jeu calculé, les reflétaient et les multipliaient sans fin, peuplaient la rue de ces belles femmes à vendre, et qui portaient des prix en gros chiffres, à la place des têtes.",C
je réunis tous ceux qui j'aime bien pour fêter l'arrivée de l'été.,A
Il a des lunettes,A
"J'aimerais vous présenter un nouveau collègue, Jacques Servat qui arrive de Madrid où il vient de passer cinq ans dans un grand groupe d'ameublement au poste de chef d'équipe des commerciaux.",B
Ne renonce jamais aux cruautés qui vivifient la passion et lui redonnent du lustre.,C
"Les gens voulaient fuir le monde, et généralement, là où il y avait beaucoup de monde, c'était les destinations sud.",B
La diffusion géographique des Lumières peut dans une certaine mesure se déduire de leur diffusion sociale.,C
J'aime beaucoup ceux avec la tour Eiffel.,A
"Il doit faire quelques courses, il compte aussi faire un peu de rangement.",A
Mais il y a un problème .,A
Tu as continué à penser à ton amant disparu.,A
Le cabotin diplomate avait même soin de faire toujours glisser dans les réclames une phrase poétique sur la fascination de sa personne et la sensibilité de son âme.,C
Il fait beau dehors.,A
"Elle a remis des dossiers au chef du personnel, elle a rempli des formulaires et elle a rédigé plusieurs commentaires sur son rapport hebdomadaire",B
"Les démocrates disposent d'une très courte majorité à la chambre haute, avec 50 sénateurs contre 50 républicains.",B
"""Me voilà."" Quand la femme vit le berger, elle cessa de pleurer, et dit: ""Eh bien, où avez-vous été tout l'hiver ?""",B
C'est une question que se posent avec insistance les autorités politiques et sanitaires ces dernières semaines.,B
"Les enfants travaillent bien à l'école, même si ma fille a quelques difficultés en mathématiques",A
"Les occasions d'opposition, dues aux différences de culture, sont plus nombreuses.",B
Je ne t'ai pas téléphoné parce que j'ai eu trop de travail.,A
Certains partenaires ne demandent pas votre consentement et s'appuient sur leur intérêt commercial légitime pour traiter vos données.,B
"Malgré la montée des problèmes liés à l'obésité, la priorité absolue de la FAO reste la lutte contre la faim, car 840 millions de personnes continuent de souffrir chroniquement de sous-alimentation.",C
Ce n'est pas important.,A
"La chronologie antique ne prend sens que sur un large pourtour de la Méditerranée, de même que ce découpage spatial n'est pertinent comme entité géographique que durant cette période pendant laquelle la mer intérieure n'est pas vécue comme une limite.",C
"Elle évoque un autre point : ""Encore aujourd'hui, certains pensent qu'un enfant élevé dans deux langues différentes réussit moins bien à l'école.",C
"Les fans des costumes de Carrie Bradshaw dans ""Sex and the City"" se régaleront devant les tenues d'Emily, de la même créatrice, Patricia Field (même si on lève les yeux au ciel quand Emily se met à porter des bérets).",C
"Un autre : Oui, on leur a bien donné des noms",B
"Et comme la première entrée n'arrivait pas, ils buvaient de temps en temps une gorgée de champagne en grignotant des croûtes arrachées sur le dos des petits pains ronds.",B
"Elle ressemble à un bébé tigre, mais c'est un tigre qui a très peur.",A
"J'adore ma grand-mère, elle est très gentille",A
L'intervalle entre les deux séances est trop long.,B
"Liberté privée, ordre public: telle est l'équation fétiche des Français.",C
La biographie est une friandise mais le quotidien de l'écrivain public se nourrit des innombrables demandes de services ponctuels formulées par les particuliers et les entreprises.,C
"En plus de toutes ces activités, le Salon du Chocolat est également l'endroit rêvé pour découvrir et acheter les chocolats de nombreux artisans chocolatiers du monde entier, réunis en un seul lieu à Paris",B
"Pas question d'être 13 à table, ça porterait malheur",A
"D'après des témoignages de chefs d'entreprise recueillis dans le Guide France Info Le salarié handicapé dans l'entreprise, ce dernier est un salarié comme les autres, avec en plus, la volonté de s'en sortir .",B
Il est midi et quize minutes.,A
"Le monastère avait donc conservé son église médiévale, qui faisait également office de paroissiale.",B
J'ai froid,A
Le paysage devient tout blanc à cause de la neige et de la glace.,A
"Si quelques-uns échappent à cette destinée générale, ils renferment en eux-mêmes leur dissentiment secret ; ils aperçoivent dans la plupart des ridicules le germe des vices : ils n'en plaisantent plus, parce que le mépris remplace la moquerie, et que le mépris est silencieux.",C
