id,sentence,difficulty,augmented_sentence
596,Je peux m'asseoir ici ?,A1,"[""Je peux m'asseoir ici?""]"
3370,"C'est la couleur de nombreux fruits et légumes, comme les tomates, les fraises ou les cerises.",A1,"[""C'est la couleur de beaucoup de fru"", 'ses et légumes, comme les tomates', 's, fraises ou cerises.']"
3048,"Pas au point qu'il faille en limiter la consommation, mais tout de même. D'autres éditeurs exploitent le créneau, et Internet regorge de sites intéressants qui permettent une approche moins scolaire, certes, mais tellement plus amusante, des mathématiques.",C2,"[""Pas au point qu'il est nécessaire en lim"", 'la consommation, mais toutes', ""D'autres éditeurs sont également en train d'exploser."", 'par le créneau, et Internet re', 'gorge de sites intéressants qui', 'permettre une approche moins sc', 'olary, bien sûr, mais tant de choses', 'Lecture amusante, mathématiques.']"
2908,"Les Français ne cèdent pas au chacun pour soi, mais ils s'intéressent d'abord à leur cercle familial proche.",B2,"['Les Français ne cèdent pas au ch.', 'Acun pour vous-même, mais ils sont intéressés', 'premier sentiment à leur cercle familial', 'une liaison locale.']"
8,J'ai retrouvé le plaisir de manger un oeuf à la coque,A2,"[""J'ai retrouvé le plaisir de la mang"", 'et un œuf décortiqué']"
577,"Trop de charlatans et songe-creux en partie malhonnêtes, en partie dupes de leur propre enthousiasme, ont fait au genre humain de magnifiques promesses qu'ils étaient bien empêchés de tenir.",C2,"['Trop de charlatans et de creus de rêve', 'x partiellement malhonnête, partiellement malhonnête', ""C'est-à-dire des dupes de leur propre enthousi"", 'Asme, ont fait de la race humaine d', ""il promet magnifiquement qu'ils"", 'Ils ont été bien empêchés de tenir.']"
2867,"Je vois trois pommes de terre, mais elles ne sont pas bonnes.",A1,"['Je vois trois pommes de terre.', 'Ils ne sont pas bons.']"
811,L'histoire que je vais vous lire s'intitule Le berger et le Dragon.,A2,"[""L'histoire que je vais te lire"", 'Le Berger et le Drag', 'Allez.']"
3509,"Ce sera inoubliable, j'en suis sûr!",A1,"[""Ce sera inoubliable, j'en suis sûr."", 'Bien sûr!']"
1538,La mort a figé le jeune homme dans une posture christique.,C2,"['La mort a gelé le jeune homme', 'Une posture chrétienne.']"
3121,"Et soudain elle est devant moi, mes lunettes à la main.",A2,"['Et soudain elle est devant moi,', 'Mes lunettes dans la main.']"
3066,"""Il est parti pour la montagne l'automne dernier, et comme il n'est pas revenu, je crains que les loups ne l'aient mangé."" Et elle commença à pleurer.",A2,"['""Il est parti pour la montagne.', ""' l'automne dernier, et comme il ne le fait pas.'"", ""n'est pas revenu, je crains que le"", 'Les loups ne l\'ont pas mangé."" Et El', 'Il a commencé à pleurer.']"
2481,"Quand le G20 du 15 avril décide le moratoire, c'est la première fois que la Chine acceptait, dans un cadre multilatéral, de participer à un moratoire.",B2,"['Lorsque le G20 du 15 avril décide', 'le moratoire est le premier', 'lorsque la Chine a accepté,', 's un cadre multilatéral, sur la', 'ici à un moratoire.']"
2314,Presque tous les jeunes déclarent aimer leur collège ou leur lycée.,B2,"['Presque tous les jeunes déclarent', 't aimer leur collège ou leur lycée', 'Oui.']"
227,"Cette ""fin des grands récits"" est largement celle où les lieux étaient classés par étapes - la succession des modes de production marxistes en représentait la version la plus formalisée, mais parler de sous-développement ou de décollage s'inscrivait dans le même paradigme évolutionniste.",C2,"['Cette ""fin des grandes histoires"" est', 't en grande partie celui où les lieux', 'ont été classés par étapes - s', 'uccession des modes de production', 'n marxistes représentés le v', ""L'écart le plus formalisé, mais"", 'parler du sous-développement ou', 'le décollage faisait partie de la', 'e même paradigme évolutif.']"
296,Aucun filet ne saura empêcher les algues de l'Atlantique de voguer et de tirer leur saveur des eaux qu'elles traversent.,B2,"[""Aucun filet n'empêchera la"", ""Algues de l'Atlantique du Vogu"", 'et de puiser leur saveur dans la', ""à ce qu'ils traversent.""]"
4327,Folio n'arrive pas à s'endormir.,A1,['Folio ne peut pas dormir.']
1020,"La gorge ronde des mannequins gonflait l'étoffe, les hanches fortes exagéraient la finesse de la taille, la tête absente était remplacée par une grande étiquette, piquée avec une épingle dans le molleton rouge du col ; tandis que les glaces, aux deux côtés de la vitrine, par un jeu calculé, les reflétaient et les multipliaient sans fin, peuplaient la rue de ces belles femmes à vendre, et qui portaient des prix en gros chiffres, à la place des têtes.",C2,"[""La gorge ronde des mannequins s'en va"", 'a gonflé le tissu, les hanches pour', 'exagérer la finesse de la', 'taille, la tête absente était r', 'Placé par une grande étiquette', 'e, piqué avec une épingle dans', 'polaire rouge du col ; tandi', 's que la glace, des deux côtés', 'de la fenêtre, par un jeu tranquille', ', les ont reflétés et les', 'pliée sans fin, peuplée le', 'rue de ces belles femmes à vendre', ', et qui ont été prix en', 'nombres importants, au lieu de t', 'Oui.']"
2520,je réunis tous ceux qui j'aime bien pour fêter l'arrivée de l'été.,A1,"[""Je rassemble tous ceux que j'aime b"", ""pour célébrer l'arrivée de l'Et"", 'e.']"
3857,Il a des lunettes,A1,['Il a des lunettes.']
1480,"J'aimerais vous présenter un nouveau collègue, Jacques Servat qui arrive de Madrid où il vient de passer cinq ans dans un grand groupe d'ameublement au poste de chef d'équipe des commerciaux.",B1,"[""J'aimerais vous en présenter un nouveau."", 'Monsieur le Président, je voudrais remercier le rapporteur pour son excellent rapport.', ""il arrive de Madrid d'où il vient"", 'il passe cinq ans dans un grand', ""Groupe d'ameublement au poste de"", ""Chef d'équipe des ventes.""]"
534,Ne renonce jamais aux cruautés qui vivifient la passion et lui redonnent du lustre.,C1,"[""N'abandonnez jamais la cruauté q"", 'il ravive la passion et il r', 'Donnez un lustre.']"
4355,"Les gens voulaient fuir le monde, et généralement, là où il y avait beaucoup de monde, c'était les destinations sud.",B1,"['Les gens voulaient fuir le monde', ', et en général, où il y a', ""pour avoir beaucoup de gens, c'était"", 'les destinations du sud.']"
3337,La diffusion géographique des Lumières peut dans une certaine mesure se déduire de leur diffusion sociale.,C2,"['La diffusion géographique du Lu', 'peut-être dans un certain moi', 'de déduire de leurs diffuses', 'n social.']"
1874,J'aime beaucoup ceux avec la tour Eiffel.,A1,"[""J'aime ceux avec Tou"", 'R Eiffel.']"
2809,"Il doit faire quelques courses, il compte aussi faire un peu de rangement.",A2,"['Il doit faire quelques courses,', ""il a aussi l'intention de faire un peu de"", 'stockage.']"
3595,Mais il y a un problème .,A1,['Mais il y a un problème.']
759,Tu as continué à penser à ton amant disparu.,B1,"[""Tu n'arrêtais pas de penser à ta vie."", 'disparu.']"
