sentence,B2
"Le bleu, c'est ma couleur préférée mais je n'aime pas le vert!",0
Le test de niveau en français est sur le site Internet de l'école.,0
Est-ce que ton mari est aussi de Boston?,0
"Dans les écoles de commerce, dans les couloirs de places financières, il arrive aujourd'hui de croiser de jeunes adultes de 20 ou 25 ans qui prévoient d'ouvrir une maison d'hôtes ""dans une quinzaine d'années"".",0
voilà une autre histoire que j'ai beaucoup aimée.,0
Les médecins disent souvent qu'on doit boire un verre de vin rouge après les repas.,0
"Il est particulièrement observé chez les personnes ayant un besoin de popularité développé, qui considèrent dès lors le moindre signal du smartphone comme un possible indicateur de leur degré de popularité.",1
J'ai retrouvé le plaisir de manger un oeuf à la coque,0
"Nous allons bien, nous habitons dans une petite maison ancienne avec un très beau jardin",0
Bonjour et bonne année.,0
La presse s'est abondamment fait l'écho des effets secondaires ressentis par les soignants de moins de 65 ans.,1
"Pour que le rocher s'ouvre, il faut le toucher avec un brin d'herbe.",0
J'habite une belle ville dans le nord de la France.,0
"Certes il doit répondre aux goûts du consommateur, mais aussi aux capacités de son porte-monnaie.",1
Je pense que fréquenter les galeries est la meilleure manière d'éduquer son oeil à l'art contemporain.,1
"Le soir, je me cuche tôt parce que je dois être toujours en bonne forme.",0
"La mère de Raphaël et de Vanessa exprime sa satisfaction : depuis que ses enfants possèdent un portable, ""ça a libéré ma ligne"", déclare-t-elle.",1
Je ne fais pas grand-chose à la maison.,0
Elle ajoute qu'une interdiction totale est impossible à gérer.,1
Je ne t'ai pas téléphoné parce que j'ai eu trop de travail.,0
C'est peut-être ça que vous cherchez ?,0
Je consulte d'habitude ma messagerie. Et puis je prends un café.,0
Nous sommes en train de dîner.,0
"En fait, je trouve que l'éducation est une bonne chose.",0
As-tu besoin de quelque chose?,0
"Le mariage mixte apparaît comme le lieu privilégié ou les cultures s'affrontent, dialoguent et se fondent.",1
"Assis en terrasse dans le quartier touristique du Vieux Lyon, James sirote une limonade bien fraîche",1
"C'est le début de troubles qui se poursuivent et s'étendent au reste du territoire tout au long du mois de septembre les fameuses ""Journées de septembre"" amplifiés le refus de Guillaume 1er de considérer les revendications des insurgés",1
Les filles s'étaient fait des colliers en fruits rouges qui ressemblaient à des perles.,1
Je reste avec toi.,0
"Ben, on est tous débordés quoi.",0
"Un petit garçon : Ben trois dans un nid et dans l'autre, y'en a deux",0
J'ai été en forme toute la matinée.,0
Il a plu et j'ai attendu l'autobus.,0
C'est bien !,0
"En 2007, moins de 8% des déchets des entreprises ont fait l'objet d'une collecte sélective.",1
