id,difficulty
2,B1
6,A2
7,A2
11,A2
15,A2
18,B1
24,B1
26,A1
30,A2
31,A2
34,B1
35,A2
38,A1
39,A1
40,B1
42,B1
49,A1
53,A1
59,A2
60,B2
61,A2
70,A1
75,A2
78,B1
80,A2
81,A1
91,B1
94,B1
95,B1
97,A2
103,A2
107,A2
108,B1
115,B1
124,A1
130,A2
131,A2
136,A2
138,B1
139,B1
145,B2
148,C2
152,A1
153,A2
154,A2
160,A2
169,B2
170,B2
173,A2
174,A1
180,A2
185,A2
186,A2
194,B2
195,A2
199,B1
202,A1
203,A1
206,B2
210,A2
212,A2
216,B2
218,B1
220,B2
226,A2
228,A2
230,B2
233,B1
237,A2
243,A2
244,B2
256,B1
260,A2
261,A2
263,B1
270,A2
272,B1
283,A2
292,A2
298,B1
300,A2
306,A2
316,A1
321,B1
331,A2
332,A1
334,B1
335,B1
336,A2
337,A2
345,B1
346,A2
348,A2
349,A2
356,A2
360,A1
365,C2
366,A2
377,B1
378,B1
379,B1
380,A2
381,A2
383,A2
389,A2
396,A2
404,B1
407,B1
408,A2
418,A1
419,A2
420,A2
424,A2
426,B1
428,B1
433,B2
438,A2
444,B1
445,A1
449,B1
451,A1
452,A1
453,A2
458,B1
464,A2
467,A2
469,B1
473,A1
475,B1
478,B1
481,A2
483,C1
487,A2
491,B1
493,B1
495,A2
500,B1
501,C2
506,A2
509,A2
516,A1
522,B1
524,A1
527,C1
536,A1
537,A2
540,A2
543,B1
547,B1
549,B1
550,B1
551,A1
552,B1
556,A2
558,A2
563,A2
569,B2
572,B2
573,A2
575,A2
578,A2
581,A2
585,A2
590,A1
593,A2
597,A2
598,B2
601,A2
609,A2
614,B1
615,B1
616,B1
621,A2
623,A1
625,A2
626,B1
627,B1
629,A1
630,A2
633,A1
639,B1
642,B2
643,A2
656,A1
658,B1
661,B1
663,B1
665,B1
672,A2
673,A1
674,A1
690,B1
691,A2
693,B1
695,B1
698,A1
699,A2
702,A2
705,A2
711,A2
717,A2
718,A1
719,A2
720,C1
738,C1
743,A2
747,C2
749,B1
753,A2
754,A2
760,A2
764,A2
767,A2
779,A2
790,A1
791,A1
792,B1
795,A2
798,B1
800,A2
801,A2
807,A1
810,C2
812,B1
813,A1
816,B1
817,B2
823,A1
829,A2
830,A2
838,A1
839,B1
840,A1
847,B1
850,B2
855,B2
857,A2
858,A1
860,A1
862,B2
864,A2
868,B2
869,A2
874,B1
875,B1
878,B1
882,A2
887,A2
896,B1
899,B1
905,A1
906,A2
911,A2
917,A2
920,A2
921,B1
924,C2
927,A2
933,A1
935,B1
937,A2
946,A1
948,B1
950,A2
953,B1
960,A2
961,A2
966,A1
968,B1
970,B1
972,B1
973,A1
974,B1
977,A2
981,C2
982,A2
983,A2
984,A1
985,B1
987,A2
990,A1
995,B2
998,A2
999,B1
1000,B2
1007,B1
1016,B1
1018,A2
1022,A2
1023,A2
1024,B1
1025,B1
1028,B1
1030,B1
1032,A2
1037,A1
1040,B1
1043,A2
1047,A2
1049,A2
1051,A2
1065,A1
1067,B1
1068,B1
1071,B1
1082,A2
1083,B2
1086,A1
1089,A1
1090,B1
1091,B1
1095,B2
1099,A2
1107,B1
1108,B2
1109,A2
1117,A1
1119,A1
1124,A2
1125,A2
1127,A2
1128,A2
1135,A2
1138,A2
1139,B1
1142,A2
1151,A2
1167,A2
1178,A2
1185,A2
1187,B1
1194,A1
1196,A2
1198,B2
1199,C1
1,B1
8,C2
16,B2
22,B2
28,C2
29,B1
37,B1
45,C1
46,B2
55,C1
57,C1
66,B2
67,B1
68,B2
73,A2
82,B1
83,B1
84,A2
86,C2
89,B1
98,B1
106,B2
116,C2
117,A2
118,A2
121,B2
122,B2
132,C1
135,C2
149,B1
151,B1
163,B2
167,B2
168,B1
171,B1
178,B1
183,B1
187,B1
189,C2
192,C1
197,B2
201,C1
207,B2
219,B2
227,B1
231,C2
234,B1
235,B2
239,C2
240,B1
241,B1
247,B1
250,B1
251,B2
264,B2
266,B1
267,B1
275,B2
278,C1
279,B1
284,A2
285,B1
291,B1
293,B2
294,C1
297,B2
304,B2
309,A2
311,B2
318,A2
328,A2
329,B1
340,B1
343,B2
351,B1
353,C2
357,B1
359,C2
361,C1
362,B2
363,B1
367,B1
368,A2
370,B2
375,B1
391,A2
397,B2
398,B1
400,B2
409,C2
416,C2
440,C2
441,B1
446,B1
447,A2
454,B1
456,C1
460,B1
461,B2
462,B2
466,B1
468,B2
472,B1
477,C2
479,B2
480,C1
486,B1
490,B2
494,B2
496,B2
497,B2
507,B2
510,B1
512,B1
514,B2
521,B1
523,B1
525,B1
528,A2
533,B2
539,B2
554,C1
560,B2
562,C1
568,B2
571,C2
576,C2
580,B2
582,C2
586,C1
588,B1
592,B2
596,B2
600,B2
605,B1
607,B1
610,B2
611,B1
613,B2
617,B2
618,B1
631,C1
632,B2
634,C1
636,B2
638,B1
644,B2
645,C2
650,B1
651,B1
664,A2
668,B1
671,A2
676,B1
677,B1
684,A2
685,B2
687,B2
689,A2
707,B1
708,B1
709,C2
712,B2
713,B1
721,B2
731,B2
735,B2
742,B1
748,A2
752,B1
762,A2
763,B1
770,B1
773,C1
775,B2
776,B1
778,B2
781,C2
785,C2
786,B1
787,C2
788,A2
789,A2
793,B1
797,B1
799,B2
802,B1
808,B1
811,B1
815,B1
818,B1
820,B2
824,B1
826,B2
832,A2
834,B1
844,C1
848,B2
852,A2
856,B1
861,B1
865,B1
871,B2
890,B1
894,C2
898,B2
900,B1
901,C1
