id,difficulty,sentence
2,A2,"Et, paradoxalement, boire froid n'est pas la bonne parade."
6,A2,"Madame, Monsieur, Votre fils Léo arrive tous les jours en retard à l'école."
7,A2,Comment tu as trouvé le repas de ce midi
11,A2,Tu as rempli le pot d'eau et tu as mis des glaçons.
15,A2,"Le jeudi est comme le mardi, on ne fait qu'aller à l'école"
18,A2,"Elle s'appelle Joy, on parlait de tout, on s'entendait super bien !"
24,A2,"Quand l'ange apparaît la deuxième fois, que conseille-t-il au pêcheur ?"
26,A2,Ils aiment passer des journées ensemble au bord de la mer
30,A2,Je suis tout à fait d'accord.
31,A2,Un orphelin : un orphelin est un enfant qui a perdu un de ses deux parents ou ses deux parents.
34,A2,J'ai perdu la boîte dans laquelle j'avais mis mes bijoux.
35,A2,Elle a décidé de s'y installer.
38,A2,Tu aimes ma nouvelle robe ?
39,A2,"Il vit à Paris avec ses parents et sa petite soeur Julie, âgée de 8 ans."
40,A2,"On ne peut pas tout faire pendant les heures de cours, ce qui me pose un problème, en vue de la journée scolaire."
42,A2,"Cet homme fut grossier ! Quand je parlai, il m'interrompit."
49,A2,"Le soir en hiver, j'aime bien lire près de la cheminée et faire de la cuisine."
53,A2,J'aime bien faire la cuisine aussi de temps en temps.
59,A2,Il souhaite faire fortune mais il n'en prend pas le chemin.
60,A2,Aujourd'hui le greffe électronique est à la disposition des entrepreneurs.
61,A2,Tu es en train de laver la vaisselle à la main ?
70,A2,N'importe quoi.
75,A2,"Je vois bien que tu es triste, tu ne dis rien, tu ne souris pas."
78,A2,"Ils ne trouvent pas qui c'est, alors ils nous font tous payer, c'est dégueulasse !"
80,A2,"Moi, c'est que par rapport à mon nom de famille"
81,A2,J'adore cette petite histoire.
91,A2,"Le lundi, David reste toute la journée à l'école. Souvent, le soir, il pratique une activité musicale : le piano."
94,A2,Parfois l'activité peut se faire à domicile.
95,A2,C'était sa façon de le récompenser pour sa gentillesse envers le petit oiseau.
97,A2,"Oui, mais ce n'est pas trop long ?"
103,A2,Il décide d'aller voir de plus près . Vous avez choisi votre plus beau fauteuil ?
107,A2,"Parfois, elle fait une bonne tarte aux fruits et elle invite des amis pour le goûter"
108,A2,"Vous savez, je ne l'utilise que pour les cas d'urgence !"
115,A2,Le ciel est également scruté mais pour des raisons ici scientifiques.
124,A2,Alors on se tient au courant pour samedi prochain ?
130,A2,C'est mon dernier jour dans cette école.
131,A2,"J'ai préparé le repas, il est dans la cuisine."
136,A2,C'est ce que j'ai cru comprendre.
138,A2,Je n'ai eu aucune nouvelle de lui depuis son départ.
139,A2,Quel est l'objet que le berger doit jeter au cou du dragon ?
145,A2,"Il s'offre les meilleurs guides, gravit les montagnes, s'épanouit."
148,A2,Une perspective quasi inconcevable dans un Congrès aussi divisé.
152,A2,Ça me sert à rien.
153,A2,Il préfère quand les sommes ne sont pas arrondies.
154,A2,Y a-t-il un problème avec votre table ?
160,A2,"Il y a 5 ans, ma famille et moi avons déménagé dans le sud de la France"
169,A2,Nous avons remarqué quelques irrégularités dans la procédure.
170,A2,Ce calme pourtant dura peu.
173,A2,C'est pas possible de leur faire faire n'importe quoi.
174,A2,Bons baisers de la Réunion où nous passons quelques jours de vacances.
180,A2,"Peux-tu me donner l'heure du déjeuner, la date et l'adresse de ton appartement"
185,A2,"Si vous êtes au nord de Nowra, trouvez un refuge, car le feu arrive"
186,A2,"Le mardi ressemble au lundi sauf qu'il n'y a pas d'activité après l'école, David rentre chez lui pour faire ses devoirs et se reposer"
194,A2,"Dans le domaine de la publicité, il peut vendre des espaces publicitaires."
195,A2,Tu veux me montrer les lignes de code ?
199,A2,"""J'ai vraiment dû beaucoup insister pour être choisi ! rapporte Monsieur."
202,A2,Pierre est un jeune garçon de 14 ans.
203,A2,Tu gagnes de l'argent.
206,A2,"Lundi, je suis resté à la bibliothèque jusqu'à la fermeture."
210,A2,Il enlève (ne garde pas) ses chaussures et marche longtemps au bord de l'eau
212,A2,Elle s'est formée à l'histoire de l'art à l'âge de 30 ans.
216,A2,lle vient de lancer une consultation publique sur le sujet.
218,A2,C'est génial que tu puisses le rencontrer!
220,A2,Combien de temps duraient les missions des hommes envoyés dans la forêt ?
226,A2,Je sais que tu ne connais pas Paris alors je te propose de venir passer quelques jours chez moi.
228,A2,"Et vous l'utilisez, un peu, beaucoup ou rarement ?"
230,A2,"Temps de course : soixante-quatorze jours, trois heures, trente-cinq minutes, quarante-six secondes"
233,A2,Il lui conseille de marcher pendant deux jours.
237,A2,"Puis, viennent la bouche et le menton"
243,A2,Je ne pourrai pas venir demain avec toi faire du vélo
244,A2,Toujours aucune trace du braqueur de la banque.
256,A2,Je crois que vous savez que Christian est malade et que nous ne connaissons pas pour l'instant la durée de son absence.
260,A2,Ne pas marcher dans l'herbe près du tribunal.
261,A2,Quel rêve le prince a-t-il fait ?
263,A2,"Ce soir, nous regarderons des photos dans l'album familial et nous nous souviendrons des moments agréables."
270,A2,Je fis un mouvement pour m'éloigner.
272,A2,"Quoi qu'il arrive, il faut rester motivé."
283,A2,"Comme ça, je pourrais l'utiliser plus souvent !"
292,A2,"Au cours suivant, elle est venue s'asseoir à côté de moi."
298,A2,J'aime aussi me promener avec mes amis en rêvant de voyages que nous pourrions faire ensemble.
300,A2,Qui a pris les 100 euros ?
306,A2,La forêt leur donne du bois et du gibier.
316,A2,Mon mari est professeur d'anglais dans une école qui se trouve à 20 kilomètres de la maison.
321,A2,"Pendant une grande partie du jour, j'attendis vainement une réponse."
331,A2,"Je ne vais pas très vite, mais il ralentit toujours pour moi"
332,A2,C'est une femme pleine de vertus.
334,A2,"Dans la classe, il est interdit de fumer"
335,A2,"Quand l'ange apparaît la première fois, que conseille-t-il à Azaël ?"
336,A2,"Aujourd'hui , c'est plus possible."
337,A2,"Chaque soir, je lis un peu et je dors sur le divan."
345,A2,La secrétaire est restée au bureau toute la journée
346,A2,"Alors, beaucoup de bruit pour rien ?"
348,A2,"Ici, il fait toujours chaud."
349,A2,Il réalise que toute cette histoire n'était qu'un rêve.
356,A2,Ses enfants l'ont traité de fou.
360,A2,"Mais aujourd'hui, il a un peu peur."
365,A2,La pensée complexe est celle qui relie les choses séparées.
366,A2,"Ce sont des jours fériés, c'est-à-dire des jours pendant lesquels on ne travaille pas."
377,A2,Vous avez sûrement été une belle femme désirée et courtisée à l'époque.
378,A2,"Comme nous, ce sont des survivants."
379,A2,"Après avoir entendu vos opinions, je voudrais annoncer ce que je pense."
380,A2,La peur du huis clos de la retraite.
381,A2,Il y a beaucoup d'avantages à Paris
383,A2,"Elle est très sportive, elle adore la nature et elle a horreur d'aller dans les discothèques."
389,A2,"À force de ne pas faire attention, vous allez finir par vous faire mal !"
396,A2,Je n'avais jamais vu ça avant !
404,A2,Il ne tient pas sa promesse car il est tourmenté par sa femme et le magicien.
407,A2,Ils se sont beaucoup promenés
408,A2,On ne se sent plus chez soi.
418,A2,Les Américains ont bien de la chance
419,A2,"Quand la tarte est cuite, la sortir du four et la retourner pour la servir."
420,A2,J'ai eu une bonne note en Français aujourd'hui.
424,A2,Elle n'est plus la même depuis qu'elle a eu l'accident.
426,A2,Et l'argent qu'il va falloir rendre !
428,A2,Il ne faut pas utiliser de mots familiers pendant l'entretien
433,A2,"Au crépuscule, nous vous attendîmes patiament, mais vous oubliâtes notre rendez-vous."
438,A2,"A 55 ans, on est mort."
444,A2,"Personne n'en a autant fait, depuis dix ans."
445,A2,Nous avions besoin d'aide.
449,A2,L'écran de mon moniteur s'est figé et les commandes ne répondent plus.
451,A2,Il n'aime pas donner les billets de vingt ou de cinquante euros.
452,A2,"Ton père est dans le jardin, il arrose les fleurs."
453,A2,Tu n'as pas oublié ! Tu as nettoyé la maison.
