sentence,A1
"Les coûts kilométriques réels peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de transport utilisé, du taux d'occupation ou du taux de remplissage, de l'infrastructure utilisée, de la topographie des lignes, du flux de trafic, etc.",0
"Le bleu, c'est ma couleur préférée mais je n'aime pas le vert!",1
Le test de niveau en français est sur le site Internet de l'école.,1
Est-ce que ton mari est aussi de Boston?,1
"Dans les écoles de commerce, dans les couloirs de places financières, il arrive aujourd'hui de croiser de jeunes adultes de 20 ou 25 ans qui prévoient d'ouvrir une maison d'hôtes ""dans une quinzaine d'années"".",0
voilà une autre histoire que j'ai beaucoup aimée.,0
Les médecins disent souvent qu'on doit boire un verre de vin rouge après les repas.,0
"Il est particulièrement observé chez les personnes ayant un besoin de popularité développé, qui considèrent dès lors le moindre signal du smartphone comme un possible indicateur de leur degré de popularité.",0
J'ai retrouvé le plaisir de manger un oeuf à la coque,0
"Nous allons bien, nous habitons dans une petite maison ancienne avec un très beau jardin",0
Bonjour et bonne année.,1
La presse s'est abondamment fait l'écho des effets secondaires ressentis par les soignants de moins de 65 ans.,0
"Pour que le rocher s'ouvre, il faut le toucher avec un brin d'herbe.",0
J'habite une belle ville dans le nord de la France.,1
"Certes il doit répondre aux goûts du consommateur, mais aussi aux capacités de son porte-monnaie.",0
"Ma timidité me quittait dès que je m'éloignais d'Ellénore ; je reprenais alors mes plans habiles et mes profondes combinaisons : mais à peine me retrouvais-je auprès d'elle, que je me sentais de nouveau tremblant et troublé.",0
Je pense que fréquenter les galeries est la meilleure manière d'éduquer son oeil à l'art contemporain.,0
"Le soir, je me cuche tôt parce que je dois être toujours en bonne forme.",1
"La mère de Raphaël et de Vanessa exprime sa satisfaction : depuis que ses enfants possèdent un portable, ""ça a libéré ma ligne"", déclare-t-elle.",0
Je ne fais pas grand-chose à la maison.,0
Elle ajoute qu'une interdiction totale est impossible à gérer.,0
"Sans plus d'hésitation, il tourna vers la gauche ; son pas sonnait sur la terre durcie, et ce bruit cadencé, monotone, assoupissait en le berçant, le tumulte de son esprit.",0
"Comme le signale l'expression ""lingua franca"", le français a été pendant très longtemps la langue internationale, eu égard à notre rayonnement politique aussi bien que culturel",0
Je ne t'ai pas téléphoné parce que j'ai eu trop de travail.,0
C'est peut-être ça que vous cherchez ?,0
"Qu'est-ce qui peut bien poser problème dans ces petits livrets pourtant plutôt attractifs pour que seuls 23, 4 % de leurs détenteurs arrivent au bout ?",0
Je consulte d'habitude ma messagerie. Et puis je prends un café.,1
Nous sommes en train de dîner.,0
"En fait, je trouve que l'éducation est une bonne chose.",0
As-tu besoin de quelque chose?,1
"Perpétuel clandestin, c'est muni d'un faux titre de séjour, photocopie de la carte de résident d'un copain-complice, qu'il avait ensuite sillonné l'Hexagone, au bon vouloir d'employeurs peu scrupuleux.",0
"Le mariage mixte apparaît comme le lieu privilégié ou les cultures s'affrontent, dialoguent et se fondent.",0
"Assis en terrasse dans le quartier touristique du Vieux Lyon, James sirote une limonade bien fraîche",0
"La chronologie antique ne prend sens que sur un large pourtour de la Méditerranée, de même que ce découpage spatial n'est pertinent comme entité géographique que durant cette période pendant laquelle la mer intérieure n'est pas vécue comme une limite.",0
"En voici un des moins obscurs : ""Plus nous devenons maîtres de la biosphère, plus nous en devenons dépendants ; plus nous la dégradons, plus nous dégradons nos vies5.",0
"C'est le début de troubles qui se poursuivent et s'étendent au reste du territoire tout au long du mois de septembre les fameuses ""Journées de septembre"" amplifiés le refus de Guillaume 1er de considérer les revendications des insurgés",0
Les filles s'étaient fait des colliers en fruits rouges qui ressemblaient à des perles.,0
Je reste avec toi.,1
Un revenu devient donc une nécessité pour que l'Homme puisse accéder à la satisfaction d'avoir comblé ses désirs,0
Tu mangeas les petits fruits dès que tu les eus cueillis,0
"Ben, on est tous débordés quoi.",1
"Un petit garçon : Ben trois dans un nid et dans l'autre, y'en a deux",0
J'ai été en forme toute la matinée.,0
"L'ordinateur peut aussi répondre à des interruptions qui lui permettent d'exécuter des programmes de réponses spécifiques à chacune, puis de reprendre l'exécution séquentielle du programme interrompu.",0
Il a plu et j'ai attendu l'autobus.,0
"Dans d'autres cas il s'agit de limites relatives, basées sur un taux de croissance démographique de référence, valables là aussi uniquement hors centres ou pondérées en fonction du degré de centralité.",0
C'est bien !,1
"En 2007, moins de 8% des déchets des entreprises ont fait l'objet d'une collecte sélective.",0
Les médecins des donneurs vous conseilleront volontiers dans un tel cas vous renseigneront par rapport aux dons de sang.,0
Le plus inquiétant c'est que la Scandinavie avait déjà battu des records de chaleur pendant l'été 2018,0
J'aime le ski.,1
"""Malheureusement, il semble désormais évident qu'il n'y a pas de voie pour obtenir une confirmation"", a écrit Neera Tanden à Joe Biden en retirant sa candidature",0
Pourquoi l'oisillon se retrouve-t-il seul dans la forêt ?,1
Elle est née quel jour ?,1
"Il existe effectivement, des êtres humains qui possèdent une quantité de pouvoir importante et qui contraignent l'humanité à travailler en créant un cercle vicieux qui fait du travail une nécessité pour accéder à ses propres désirs",0
Une bouchée de : cette expression fait référence à la quantité d'un aliment qu'on met dans la bouche en une fois.,0
"Si tu respectait les indications plus sérieusement, tu trouverais plus facilement ton chemin à travers ces ruelles.",0
"Aussitôt que Julie eut découvert la vérité, elle fut furieuse",0
Pile au moment où on a le plus besoin de réconfort,0
"Le train, en son temps, était également craint. Brigitte Munier Les robots suscitent l'enthousiasme des Occidentaux, mais aussi leur angoisse: au lieu de les concevoir comme de simples outils ou, à la manière japonaise, tels d'amicaux auxiliaires, ils craignent des compétiteurs menaçant leur avenir.",0
Je viens d'emménager dans ma nouvelle maison.,0
"Et cette année, ça défile !",0
"Compte tenu de cette configuration, cette zone est peu adaptée à des mesures de terrain pour limiter la diffusion des campagnols terrestres ; les axes routiers ne représentant pas une barrière très forte pour cette espèce, on peut aussi penser qu'un tel résultat est un artéfact dû à la coupure artificielle d'une seule tache de prairie.",0
"Après mûre réflexion, la Commission européenne a eu une idée brillante: s'attaquer à un nouveau chantier, qui avait jusque-là bizarrement échappé à sa sagacité légendaire.",0
"Avec de l'expérience, le télévendeur peut devenir animateur d'un pôle de télévendeurs, superviseur d'équipe, chef de plateau.",0
"Et toi, qu'est-ce que tu vas faire ?",0
Les valorisations boursières des sociétés Internet comme AMAZON,0
"Sur d'autres, on entendait une série de détonations, tandis que des contestataires scandaient: ""notre révolte doit réussir"".",0
Les baby-boomers en sont convaincus: tout peut recommencer à 50 ans.,0
"Rien n'était si beau, si leste, si brillant, si bien ordonné que les deux armées.",0
Comment t'appelles-tu ?,1
"Largué par la sonde européenne Rosetta, le petit robot avait atterri mercredi en fin d'après-midi sur le noyau de la comète Tchourioumov-Guérassimenko, une première de l'histoire spatiale.",0
"Elle pendit son linge au dossier d'une chaise, elle demeura debout, tournant, examinant les meubles, frappée d'une telle stupeur, que ses larmes ne coulaient plus ; il lui restait un sou sur les quatre sous gardés pour le lavoir. Puis, entendant rire à la fenêtre Étienne et Claude, déjà consolés, elle s'approcha, prit leurs têtes sous ses bras, s'oublia un instant devant cette chaussée grise, où elle avait vu, le matin, s'éveiller le peuple ouvrier, le travail géant de Paris ; à cette heure, le pavé échauffé par les besognes du jour allumait une réverbération ardente au-dessus de la ville, derrière le mur de l'octroi ; c'était sur ce pavé, dans cet air de fournaise, qu'on la jetait toute seule avec les petits et elle enfila d'un regard les boulevards extérieurs, à droite, à gauche, s'arrêtant aux deux bouts, prise d'une épouvante sourde, comme si sa vie, désormais, allait tenir là, entre un abattoir et un hôpital.",0
"Le sérum, qui a pâti de la comparaison avec ses concurrents Pfizer et Moderna, est désormais considéré comme aussi efficace pour prévenir le risque d'hospitalisation.",0
